"Park ID","Park Name","Address","Location Description","Park Category","Linear Park System","District","Classification Type","Neighbourhood","Electoral Ward","CCA","Water Area in Hectares","Land Area in Hectares","Polygon","Total Area in Hectares"
"3461","White Spruce Park",,"275 Philip Lee Dr","Park and Open Space",,"East","Neighbourhood","PEGUIS","Transcona","Transcona","1.243899","0.972442","MULTIPOLYGON (((-97.04852370468423 49.9099373009054, -97.04834554297953 49.90993617635534, -97.04827214046156 49.909934962376845, -97.04827085424971 49.910570686647254, -97.04827398874795 49.91060951186434, -97.04828462865518 49.91065056556096, -97.04837025967366 49.91086241971894, -97.05069571455667 49.91048616415957, -97.05081758961961 49.910800128050646, -97.0508361913339 49.910845556921, -97.05094191606004 49.9108291255639, -97.05073934563241 49.91030770414461, -97.05307529966541 49.909929986084435, -97.0533434871436 49.90959332005913, -97.05329435593386 49.90952201850942, -97.05304576718247 49.90944650158839, -97.05292469918764 49.90940483366059, -97.05279040799097 49.90938672422841, -97.05269243717662 49.909381115116375, -97.05265123724807 49.90939541441202, -97.05237154975866 49.90974724660837, -97.05109553035554 49.90995355082372, -97.04852370468423 49.9099373009054)))","2.216341"
"4022","Ridgewood South Greenspace-B",,"Between 30 & 58 Hofsted Dr","Park and Open Space",,"South","Nature","RIDGEWOOD SOUTH","Charleswood - Tuxedo - Westwood","Assiniboine South","0","0.753264","MULTIPOLYGON (((-97.31181742093528 49.84557222845669, -97.31181395103394 49.84561762157981, -97.31202442061014 49.84559999606206, -97.31210080795807 49.845591788257764, -97.31226414295506 49.84557012047605, -97.31238769439098 49.84555682069719, -97.3125438418785 49.84554287696531, -97.31265185053675 49.845537179699775, -97.31278976493105 49.84553359538505, -97.31291143458016 49.845534329685, -97.31291472143604 49.84548935078639, -97.31294738200803 49.84516804993192, -97.30838280551657 49.84498902910789, -97.3083680014036 49.84513813200699, -97.30896022501987 49.845161355992374, -97.30896145227487 49.84514897663493, -97.31184623812733 49.84526198500721, -97.31181742093528 49.84557222845669)))","0.753264"
"6921","Carriere Avenue Park",,"57 Carriere Ave","Greenfield - Future Park",,"East","Greenfield - Future Park: Neighbourhood","NORWOOD EAST","St. Boniface","St. Boniface","0","0.078899","MULTIPOLYGON (((-97.11050431254037 49.87299151267818, -97.11048162184706 49.87277645279884, -97.11048787802233 49.8727745084995, -97.11048415450716 49.87276752140158, -97.11047734954624 49.87276036667114, -97.11046954992936 49.872755426258685, -97.11045845528302 49.87275113650663, -97.11044657956496 49.87274824277811, -97.11043428583605 49.87274675099173, -97.11042176478465 49.872746429463305, -97.11041738514734 49.872746945043986, -97.10996065126955 49.872897748448935, -97.10998893401592 49.87293896178556, -97.10999684820513 49.873013995535445, -97.11050431254037 49.87299151267818)))","0.078899"
"552","Kern Park",,"50 Kern Dr","Park and Open Space",,"East","Neighbourhood","KERN PARK","Transcona","Transcona","0","2.814489","MULTIPOLYGON (((-97.00017621493494 49.89832167332492, -97.00002265776178 49.898321377827045, -97.00000005805761 49.89832348931885, -96.99997848490098 49.89832832447718, -96.99995871746997 49.898335708666025, -96.9999414697243 49.898345375183865, -96.99985990949371 49.898415603184674, -96.9997881225373 49.898472044384704, -96.9997121734254 49.898526165080014, -96.99963224167391 49.898577837339644, -96.9995485162148 49.898626939020026, -96.9994611949495 49.898673354053464, -96.99937048428106 49.89871697272297, -96.9992765986263 49.898757691921155, -96.99917975990883 49.898795415394325, -96.99908019703457 49.89883005397033, -96.9989781453504 49.898861525768595, -96.99887384608786 49.89888975639465, -96.99876754579275 49.89891467911533, -96.99865949574229 49.89893623501683, -96.99854995135087 49.89895437314424, -96.99843917156633 49.898969050621616, -96.99832741825746 49.89898023275339, -96.99821495559503 49.89898789310671, -96.998102049427 49.89899201357388, -96.99798896664998 49.89899258441468, -96.99787597457814 49.898989604280246, -96.99776334031111 49.89898308021543, -96.99765133010247 49.89897302764274, -96.99754020873011 49.89895947032535, -96.99743023887022 49.89894244031146, -96.99732168047615 49.89892197785804, -96.99721479016382 49.89889813133595, -96.99710982060489 49.89887095711557, -96.99700701992941 49.89884051943313, -96.99690663113918 49.89880689023912, -96.9968088915331 49.89877014902843, -96.99671403214634 49.8987303826518, -96.99662227720397 49.89868768511076, -96.99653384359088 49.898642157335644, -96.99644894033925 49.89859390694629, -96.99636776813418 49.8985430479983, -96.9962905188395 49.898489700712815, -96.99621737504418 49.898433991192846, -96.99614850963077 49.89837605112441, -96.99613523718517 49.89836358107698, -96.99611810595154 49.89835325876957, -96.99609792577836 49.89834557216955, -96.99607565064548 49.89834088464589, -96.99605233356668 49.898339417792286, -96.99588384990095 49.898340706625454, -96.99586294676702 49.89834350633091, -96.99584358371095 49.898349312635965, -96.99582678201419 49.89835781929418, -96.99581342786362 49.898368577632006, -96.99580422561074 49.8983810202135, -96.99579966062129 49.89839449076869, -96.99580176353085 49.8984639777416, -96.9958090504723 49.89853331841483, -96.99582150451951 49.89860235151209, -96.99583909672822 49.89867091647176, -96.99586178620294 49.89873885382033, -96.995889520192 49.89880600554343, -96.99592223421007 49.89887221545328, -96.99595985218792 49.89893732955204, -96.99600228664913 49.899001196389804, -96.99604943891345 49.89906366741749, -96.99610119932615 49.89912459733152, -96.99615744751296 49.89918384441261, -96.99621805265983 49.89924127085506, -96.9962828738172 49.89929674308721, -96.99635176022768 49.89935013208261, -96.99642455167664 49.899401313659695, -96.99650107886484 49.899450168770905, -96.99658116380209 49.89949658377976, -96.99666462022131 49.899540450725084, -96.99675125401171 49.89958166757206, -96.9968408636704 49.89962013844983, -96.99693324077097 49.89965577387432, -96.99702817044846 49.89968849095676, -96.9971254318991 49.89971821359619, -96.99722479889405 49.89974487265657, -96.99732604030568 49.89976840612783, -96.9974352225072 49.89978715296428, -96.99754558844965 49.899802741953444, -96.99765691933312 49.899815142189645, -96.99776899444407 49.89982432908913, -96.99788159159303 49.89983028443871, -96.99799448755527 49.89983299643135, -96.99810745851342 49.899832459690316, -96.99822028050136 49.8998286752794, -96.99833272984834 49.89982165070096, -96.99844458362254 49.89981139988106, -96.99855562007328 49.899797943141714, -96.99866163292317 49.89977795218177, -96.99876602639375 49.899754675715194, -96.99886855658775 49.89972816812337, -96.99896898396227 49.899698491337105, -96.99906707388851 49.89966571469123, -96.99916259720004 49.89962991476273, -96.99925533072839 49.89959117519191, -96.99934505782434 49.899549586486806, -96.99943156886435 49.89950524581193, -96.99951466174016 49.89945825676071, -96.99959414233109 49.89940872911401, -96.99966982495758 49.899356778583126, -96.99974153281495 49.89930252653964, -96.9998090983864 49.899246099731855, -96.99987236383438 49.899187629988425, -96.99993118136926 49.8991272539103, -96.99998541359449 49.8990651125519, -97.00003493382746 49.89900135109114, -97.00007962639545 49.89893611849023, -97.00011938690564 49.89886956714788, -97.00015412248881 49.89880185254311, -97.00018375201621 49.89873313287192, -97.00020820628893 49.89866356867753, -97.00022742819931 49.898593322475676, -97.00024137286417 49.89852255837462, -97.00025000772942 49.89845144169182, -97.00025331264604 49.898380138567724, -97.00025173258133 49.898366094061316, -97.00024475634618 49.89835275302205, -97.00023282880507 49.89834096618062, -97.00021671055573 49.898331485159375, -97.0001974294267 49.89832491454287, -97.00017621493494 49.89832167332492)))","2.814489"
"302","McBeth Park Playground",,"645 Rivergrove Dr","Park and Open Space",,"North","Neighbourhood","RIVERGROVE","North Kildonan","Seven Oaks","0","0.522983","MULTIPOLYGON (((-97.08630155330546 49.95724956117043, -97.085286050321 49.95679086295159, -97.08504725662469 49.95701139139314, -97.08491149834776 49.956950122580174, -97.08526300199802 49.95769165172387, -97.08533820178553 49.95767585701242, -97.08541277710286 49.957658254545166, -97.08548328914938 49.9576397647041, -97.08555695080027 49.95761844665838, -97.08562627079966 49.9575964250248, -97.08569672360521 49.95757198962431, -97.08576388221613 49.95754665523437, -97.08583169202204 49.95751892142861, -97.08589732692923 49.95748986984798, -97.0859599107461 49.95745999099409, -97.08602126171643 49.957428466884565, -97.08608159887477 49.95739511438445, -97.08613862315147 49.957361246246236, -97.08619518392285 49.957325166138396, -97.08624980251089 49.95728770989471, -97.08630155330546 49.95724956117043)))","0.522983"
"4340","Camiel Sys Park",,"871 Camiel Sys St","Park and Open Space",,"East","Neighbourhood","ST. BONIFACE INDUSTRIAL PARK","Transcona","St. Boniface","0","0.749363","MULTIPOLYGON (((-97.02998746901514 49.878399048162876, -97.03115325366466 49.87839851224358, -97.03020873345709 49.87708977466363, -97.03027816006015 49.87705212304207, -97.03021903226337 49.87697269703766, -97.03010453804576 49.87699628985698, -97.02993300978848 49.877024904121825, -97.02998432106621 49.87710299066759, -97.02998746901514 49.878399048162876)))","0.749363"
"6681","Cheema Drive Park",,"118 Cheema Dr","Greenfield - Future Park",,"North","Greenfield - Future Park: Linkage","NORTH INKSTER INDUSTRIAL","Old Kildonan","Inkster","0","0.226461","MULTIPOLYGON (((-97.21091107414743 49.95698542135303, -97.21091186946389 49.95667967446132, -97.21079060797898 49.956679525960666, -97.2108229566776 49.95666157599982, -97.21002929800059 49.956660735488946, -97.21002826761531 49.95698436057071, -97.21091107414743 49.95698542135303)))","0.226461"
"62","Slaw Rebchuk Monument",,"NE corner of Dufferin Ave & Salter St","Park and Open Space",,"North","Neighbourhood","LORD SELKIRK PARK","Mynarski","Point Douglas","0","0.019119","MULTIPOLYGON (((-97.14289056695924 49.91184517908202, -97.14265367584025 49.911769168911114, -97.14284240489559 49.9119942760682, -97.14285728173182 49.91199731261105, -97.14291958619008 49.91188679469625, -97.14292131275216 49.91187703674015, -97.14291896975786 49.911867332535486, -97.14291272502986 49.91185837716003, -97.14290302585766 49.91185081205518, -97.14289056695924 49.91184517908202)))","0.019119"
"173","Pinkham Park",,"758 Pacific Ave","Park and Open Space",,"North Downtown","Neighbourhood","WEST ALEXANDER","Point Douglas","Downtown","0","0.171972","MULTIPOLYGON (((-97.15892532528245 49.907749181800604, -97.15829833761923 49.907548155949314, -97.15808333079615 49.90782269951777, -97.15871033433322 49.908023634115416, -97.15892532528245 49.907749181800604)))","0.171972"
"1","Champlain C.C",,"282 Niverville Ave","Park and Open Space",,"East","Community","NORWOOD EAST","St. Boniface","St. Boniface","0","1.534225","MULTIPOLYGON (((-97.11480023475168 49.87520401180342, -97.11359898669988 49.875257286536296, -97.11376762410374 49.876847292705634, -97.11496970971533 49.87679404066922, -97.11480023475168 49.87520401180342)))","1.534225"
