"Park ID","Park Name","Address","Location Description","Park Category","Linear Park System","District","Classification Type","Neighbourhood","Electoral Ward","CCA","Water Area in Hectares","Land Area in Hectares","Polygon","Total Area in Hectares"
"2831","Bridgwater Lakes Park",,"200 Bridge Lake Dr","Park and Open Space",,"South","Community","BRIDGWATER LAKES","Waverley West","Fort Garry","0","4.146814","MULTIPOLYGON (((-97.20739967487167 49.79567305356669, -97.20730761961669 49.79527686043373, -97.20724504638808 49.79528128552579, -97.20718607474016 49.79528428854398, -97.2071292254867 49.795286118663725, -97.20706179964114 49.79528694016157, -97.20700653680487 49.79528652369248, -97.20695026601315 49.795285089945075, -97.20688304801752 49.79528203701846, -97.20681740706648 49.79527763810217, -97.20675007742047 49.79527165555627, -97.20669979791491 49.795266204609185, -97.20664403207763 49.79525916106886, -97.2065812064328 49.79524994737493, -97.20652937311264 49.79524130575206, -97.20646849797006 49.795229927880534, -97.2064076537873 49.795217194416225, -97.20634936964453 49.79520368103153, -97.2062950955166 49.79518990132677, -97.20624213881044 49.79517530520966, -97.2061820674859 49.795157317888616, -97.206126088041 49.79513912737589, -97.20607695159849 49.79512197148941, -97.20602009952123 49.79510066436696, -97.2059687942217 49.795080021838935, -97.20591330266443 49.79505609195433, -97.20586609671302 49.795034341048535, -97.20581045845594 49.795006942150685, -97.20576552686998 49.794983322532744, -97.20571877890306 49.79495721959741, -97.20567396814221 49.79493061746244, -97.20562784181591 49.79490147427872, -97.20558424950484 49.79487213422555, -97.2055422520221 49.794842044896434, -97.20549048980001 49.794803306061866, -97.20586898159168 49.794591723902975, -97.20590590043759 49.79456979928748, -97.20572478554776 49.79443380763642, -97.2051628966325 49.79474872869606, -97.20512828431607 49.79477078933338, -97.2050997060147 49.794792868762705, -97.20507478113413 49.79481611899126, -97.20505124382954 49.79484321258832, -97.20503285214508 49.79487015600877, -97.20501815574949 49.79489872958248, -97.20500806431667 49.79492694460035, -97.20500190105759 49.79495652795791, -97.2049163093771 49.79577473745428, -97.20490988203753 49.79584892607487, -97.20484923827665 49.7971506662372, -97.20710724591254 49.79714617236449, -97.20715178201175 49.797076387895544, -97.20719497172543 49.79700284355156, -97.2071983280057 49.79699447037668, -97.20722490956351 49.796945171064294, -97.20725180805185 49.79689188060333, -97.20727497154283 49.79684270286958, -97.20729606128118 49.79679472719731, -97.20732988896093 49.79670960017249, -97.20736110534048 49.79661850672341, -97.20738567686737 49.79653355241856, -97.20740593307707 49.796448657974025, -97.20740824564459 49.79644396031728, -97.20741217716987 49.796424798453344, -97.20742832915313 49.79633102186818, -97.20743933607591 49.79623787155529, -97.20744321000144 49.79618752494581, -97.20744556977573 49.79613903095189, -97.20744636815849 49.79604664986961, -97.20744235729715 49.79595511069778, -97.20743305465189 49.795859583252344, -97.20741907754788 49.79576732828405, -97.20739967487167 49.79567305356669)))","4.146814"
"778","St. David Park",,"28 St. David Rd","Park and Open Space",,"East","Neighbourhood","ST. GEORGE","St. Vital","St. Vital","0","0.217631","MULTIPOLYGON (((-97.11069472309536 49.85150316850765, -97.11078059412178 49.85087987643959, -97.11077996390799 49.8508673248305, -97.11077486246687 49.850855207541194, -97.11076556626342 49.85084418124249, -97.11075257908803 49.85083484348096, -97.11073660475415 49.850827700296094, -97.11071850895652 49.8508231387969, -97.1106992723569 49.8508214061836, -97.11067993743961 49.85082259635134, -97.11066155201704 49.85082664480147, -97.11019372999874 49.85098690858407, -97.1101766789543 49.85099569917392, -97.1101635683539 49.85100696693208, -97.11015523088803 49.851019996214546, -97.1101521960947 49.85103395949792, -97.11015465672624 49.851047969937035, -97.1101624565059 49.85106113769116, -97.11054328496844 49.851520446438364, -97.1105580946223 49.85152990734676, -97.11057594196741 49.851536838169615, -97.11059581654187 49.85154084650465, -97.11061659310712 49.8515417054118, -97.11063709535597 49.851539366262315, -97.11065616251236 49.851533961491775, -97.1106727150516 49.85152579710209, -97.11068581582033 49.851515335336316, -97.11069472309536 49.85150316850765)))","0.217631"
"1174","Kaitlyn Lawes Park",,"605 Lindenwood Dr W","Park and Open Space",,"South","Neighbourhood","LINDEN WOODS","River Heights - Fort Garry","Fort Garry","0","0.794214","MULTIPOLYGON (((-97.19833333644759 49.831529256016616, -97.1983697830528 49.83146043936947, -97.19840422521285 49.8313916466585, -97.19843674374239 49.83132277654015, -97.19846676516084 49.83125521511891, -97.19849836866564 49.83117915555027, -97.19852185518477 49.83111869244909, -97.19854662870506 49.83105049351996, -97.19857155528345 49.83097623563027, -97.19859301028988 49.83090660457281, -97.19861402203846 49.830831761706705, -97.19863173150713 49.83076192401453, -97.19864695787587 49.83069518202355, -97.19866299305384 49.830615430311106, -97.19867396984196 49.83055266268219, -97.19868537725452 49.830476353796904, -97.19869383928682 49.83040762411052, -97.1974350307086 49.83110134194193, -97.19746834143547 49.83114259855493, -97.19749729203839 49.83114061610963, -97.19752822622642 49.83114026663943, -97.19755711260748 49.831141582646374, -97.19758741250799 49.83114469964893, -97.19761675447523 49.831149485874995, -97.19764454008488 49.83115573219211, -97.19767049460758 49.83116321396226, -97.1976961608344 49.83117236624868, -97.19773058436743 49.831187871387925, -97.19776281589698 49.83120665565118, -97.19779045218425 49.8312273772916, -97.19780307184746 49.831238862871594, -97.19781503691992 49.83125141440499, -97.19782623854628 49.8312652016319, -97.19783634848018 49.83128018416026, -97.19784493507586 49.83129606699697, -97.19785165600297 49.83131241130615, -97.19785634375894 49.831328691568096, -97.19785910573647 49.831344921004984, -97.19786000529574 49.83136144709642, -97.19785905289982 49.83137743494959, -97.19785617744289 49.83139392141415, -97.19785147161018 49.831410007592524, -97.19784468877042 49.83142634120526, -97.19783643359327 49.8314415681118, -97.19782669429877 49.83145607576873, -97.1978154703613 49.83146998575509, -97.19780187661169 49.831484186160786, -97.19778673234973 49.83149762346673, -97.19776461084354 49.83151403911892, -97.1977400108554 49.83152901237522, -97.19771107030671 49.83154330628686, -97.19768224726346 49.83155471719716, -97.19765918742898 49.831562143667796, -97.1972919126537 49.83166823618396, -97.19724419666899 49.831682895874685, -97.19719376160693 49.83169996013298, -97.1971448737723 49.831718137094875, -97.19709831827936 49.83173704941092, -97.19705244794677 49.83175732880914, -97.19809982210168 49.83195829687332, -97.19833333644759 49.831529256016616)))","0.794214"
"1657","Churchill Drive Community Gardens",,"200 Churchill Dr","Park and Open Space","South Winnipeg Parkway","South","Community","RIVERVIEW","Fort Rouge - East Fort Garry","River Heights","0","5.803086","MULTIPOLYGON (((-97.11586626830277 49.86831463720308, -97.11577999122389 49.86827726300646, -97.115696683311 49.86823717330808, -97.11561654895432 49.8681944664692, -97.11553978475618 49.86814924727191, -97.11546657904853 49.868101626662074, -97.11539711143097 49.86805172147724, -97.1153315523301 49.86799965415964, -97.11527006258142 49.867945552455964, -97.11521279303477 49.86788954910368, -97.1151598841844 49.86783178150543, -97.11511146582423 49.86777239139221, -97.11506765672966 49.867711524474714, -97.11502856436618 49.86764933008674, -97.11493330777648 49.867685124620344, -97.11491681648933 49.867657503721794, -97.114032364748 49.86795584680135, -97.11409412490963 49.86808959395525, -97.11412177218335 49.86812981466783, -97.11416284793333 49.86822044641262, -97.11417870445749 49.86825811135215, -97.11420132166062 49.8682991371135, -97.11432949944437 49.86847504611087, -97.11442706089927 49.86859680592309, -97.11448129285961 49.86865378061547, -97.11449806685508 49.86867690099984, -97.11451719166001 49.86872131499383, -97.11460774348781 49.8688099349432, -97.11465614716603 49.86885955405217, -97.11469713254716 49.86889350253935, -97.11471815265168 49.86891480299364, -97.11472529013001 49.868931649938524, -97.1147327601324 49.86893995696842, -97.11473611721742 49.86894666793292, -97.11482376519358 49.86901888486304, -97.1149342839188 49.86909705065704, -97.11502547002165 49.869149895610306, -97.11511141312054 49.86921587798633, -97.11515418887502 49.869239601036675, -97.11519160043196 49.8692693822731, -97.11521498655928 49.86929015262236, -97.11535397033524 49.86936904985767, -97.11539232885453 49.86939638987082, -97.11557843896573 49.869497674587265, -97.11569267184969 49.86956768212838, -97.11576313724764 49.869601355722196, -97.11583044636457 49.86963216790011, -97.11591217570604 49.86965985209605, -97.11594518047633 49.86967361137912, -97.11600231590816 49.86970386409008, -97.1160368523124 49.86971045218375, -97.11622679033208 49.869777265972026, -97.11624272090559 49.86978467957818, -97.11626298428217 49.869789686359695, -97.11627896837096 49.86979021600038, -97.1163090052463 49.86979799019248, -97.11633174953137 49.86981077304731, -97.11639166057668 49.86982335037716, -97.11647984607168 49.86985813456269, -97.11671491639959 49.86991738482851, -97.11676449707247 49.86992845653706, -97.11704693794414 49.86999951727645, -97.11730135705756 49.87005770084306, -97.11733980720508 49.87006708572357, -97.11764726906588 49.870129796515506, -97.11797230693374 49.87018694419451, -97.118148359901 49.87021519773478, -97.11829261951137 49.8702311225026, -97.11839665926007 49.87024702380129, -97.11850218294919 49.87026771648417, -97.11885334696473 49.87029914252323, -97.11893912274918 49.87030872019858, -97.11901457606761 49.870311743784505, -97.1190594891524 49.870315416766154, -97.11916489605616 49.87033289300878, -97.11920237220932 49.870335480077685, -97.11924582613001 49.87033465605921, -97.11931934919161 49.870340796398594, -97.11939996735804 49.87035775595045, -97.11942169213408 49.87036080427461, -97.11946221759108 49.87036389318835, -97.11954286023406 49.87035872516255, -97.11958479820156 49.87035751661821, -97.1198005856413 49.87038461148213, -97.11990119069041 49.87039916941106, -97.1199620961143 49.8704005171774, -97.1200935677578 49.8703945541421, -97.12014048786007 49.870397653889164, -97.12017563169249 49.870402137653336, -97.12024540152215 49.87041257823917, -97.12030640818863 49.870411318895954, -97.1204049185506 49.87041552506904, -97.12048252175293 49.870413365421854, -97.12054652086866 49.870416975836875, -97.1206646050567 49.87041937635921, -97.12069203232225 49.8704226995099, -97.12074179003443 49.87042440581284, -97.12086210153186 49.870433462619324, -97.12091460341203 49.870433420622355, -97.12109628927504 49.87044526493562, -97.12113342512589 49.870445866946845, -97.12123261495381 49.87043769542038, -97.12141973392563 49.870441512844586, -97.12149784159571 49.870437111926556, -97.12161511907411 49.87043469503759, -97.12176353939988 49.87041875041031, -97.12181333470981 49.87042666345976, -97.12184908359446 49.87042355478746, -97.12187262432865 49.87041943872146, -97.12187922103072 49.87041441842829, -97.12189824167677 49.870408430097655, -97.12204527253587 49.87041036278186, -97.12213046535845 49.87041705022233, -97.12217412079944 49.870418207285475, -97.12232132987661 49.87041195699415, -97.12256815312332 49.870359916149, -97.12260617957014 49.87035549487632, -97.12263692093937 49.870355902875936, -97.12273180758108 49.87036742432908, -97.12304448761783 49.87035054045038, -97.12333896236687 49.870318609041334, -97.12342127070411 49.8703063591849, -97.12348920415438 49.870298733870094, -97.1236026774452 49.870293914661254, -97.12366339235037 49.87028581257628, -97.12370359823423 49.870284080671496, -97.12342119409018 49.8699338982614, -97.12336916067756 49.86986319029413, -97.12127488194365 49.870160312930906, -97.12118291752778 49.87017213403517, -97.12109004078692 49.870180458371046, -97.12099656972804 49.87018525743649, -97.12090282439337 49.87018651479994, -97.12080912576444 49.87018422615647, -97.12071579466279 49.87017839934251, -97.12062315065121 49.87016905430903, -97.12053151093949 49.87015622305358, -97.12044118929796 49.870139949509955, -97.12035249498318 49.870120289398535, -97.12026573167857 49.870097310034865, -97.12018119645477 49.870071090099394, -97.12009917875213 49.870041719368075, -97.11853733695854 49.86939437100607, -97.11734410993907 49.86891812906409, -97.1170835877237 49.868815134649836, -97.11707536510833 49.86881744863693, -97.11586626830277 49.86831463720308)))","5.803086"
"6389","Robert Bockstael Drive Park",,"150 Robert Bockstael Dr","Park and Open Space",,"East","Linkage","SAGE CREEK","St. Vital","St. Boniface","0.308088","1.196531","MULTIPOLYGON (((-97.03512959134525 49.82326130440948, -97.03491819556608 49.82331143289716, -97.03489118952267 49.823318605231506, -97.03486720914948 49.82332590249803, -97.03482841912262 49.8233397215045, -97.03479364182378 49.82335448255203, -97.03476120582677 49.82337059658556, -97.03472516012587 49.82339169910167, -97.03469546590695 49.82341222072254, -97.03466768910167 49.823434753584856, -97.03464203178007 49.82345945494913, -97.03462046661348 49.82348436954698, -97.03460350485453 49.82350801583183, -97.03459025478578 49.82353046174069, -97.03458043922735 49.82355087227394, -97.03456678727986 49.823586787291205, -97.0345559326671 49.82361126820061, -97.03454231950893 49.82363689158932, -97.03452687163345 49.82366162830933, -97.03450662976502 49.823689413889184, -97.0344816616434 49.82371872398688, -97.03445529362847 49.82374546424685, -97.03442738111835 49.823770270615725, -97.03439118035321 49.823798337179724, -97.03435312279835 49.8238239177835, -97.03431144713998 49.82384823421814, -97.03426841869224 49.823869989507976, -97.0342225586298 49.82388999684263, -97.03417571024885 49.82390749679438, -97.03412347783508 49.82392391363107, -97.03407229808471 49.82393714636347, -97.03402531977864 49.82394700595201, -97.03398000958458 49.823954568524925, -97.03393094220421 49.82396070317115, -97.03388165550864 49.82396479206553, -97.03383264200927 49.82396684707273, -97.0337831591889 49.823966910365485, -97.03373387590507 49.82396496535232, -97.03368376736682 49.82396090904373, -97.03364264920123 49.82395597981873, -97.03360189743022 49.82394962568566, -97.03279584969788 49.82380514932835, -97.0328039984404 49.82385982694721, -97.03281501495633 49.82391334162347, -97.03282900062231 49.82396657124323, -97.03284619710934 49.82402018650832, -97.03286663133323 49.824073912244984, -97.03288913373486 49.82412503741862, -97.03291523122712 49.82417714167642, -97.03294498997998 49.82422983555414, -97.03298350691982 49.8242903227842, -97.03302733451405 49.82435134316958, -97.0334329479534 49.8248700886299, -97.03348975279832 49.82478648638637, -97.03350999552343 49.82476018803894, -97.03353264624532 49.82473363772294, -97.0335587831192 49.824705982545595, -97.03358726881518 49.82467875820479, -97.03361820221205 49.824651995206565, -97.03365063606488 49.824626527216274, -97.03368576537912 49.82460146238492, -97.03372454687472 49.824576384142325, -97.03376446897715 49.82455302267166, -97.03380351435484 49.82453228196597, -97.03384553596851 49.82451202936906, -97.03389119793191 49.82449220616644, -97.03393521112747 49.82447505082645, -97.03398281790403 49.82445846880522, -97.03402949777244 49.824444049101054, -97.03407491805625 49.82443166201506, -97.03412141770943 49.82442055406838, -97.03417269765485 49.824410059655754, -97.03424440339487 49.8243983274323, -97.03437700076503 49.82438262545027, -97.03442160228914 49.82437615197395, -97.03446345489998 49.82436914140064, -97.03452279965701 49.824357601316535, -97.03467740130901 49.824323773071555, -97.034816130355 49.82429462235617, -97.0349416789214 49.8242693320649, -97.03506718667204 49.82424507459152, -97.03520769160639 49.82421912109634, -97.0353466709394 49.82419468589812, -97.03548517231512 49.82417154544042, -97.03562562031749 49.824149302097105, -97.03562584646977 49.824081480174804, -97.03562464042136 49.82405022748132, -97.0356206489404 49.82401241393002, -97.03561388790698 49.823974736648914, -97.03560317552738 49.82393325970093, -97.0355891366755 49.82389227412269, -97.03557252135147 49.82385336446837, -97.03555221748523 49.823813832605566, -97.0355259482926 49.823770755615676, -97.03549728833954 49.82373057835424, -97.03512959134525 49.82326130440948)))","1.504619"
"1269","St. James Greenspace",,"415 Woodlawn St","Park and Open Space",,"North","Neighbourhood","DEER LODGE","St. James","St. James - Assiniboia","0","0.210479","MULTIPOLYGON (((-97.23345444421058 49.88558761297135, -97.23352443064339 49.88559128482416, -97.2335798661093 49.885041896814, -97.23350529980648 49.88504052782589, -97.23309799529191 49.8850247125431, -97.2330470418946 49.88557179604052, -97.23345444421058 49.88558761297135)))","0.210479"
"1008","Byng Island Buffer",,"Byng Pl, E of Rockman St","Park and Open Space",,"South","Buffer","BEAUMONT","River Heights - Fort Garry","Fort Garry","0","0.099558","MULTIPOLYGON (((-97.15499215997636 49.84847615675292, -97.15564813804033 49.848254340630255, -97.15566434781705 49.84824819418095, -97.15567940880719 49.84823988147421, -97.1556925005878 49.84822922217585, -97.15570242667542 49.848216511478455, -97.1557078900929 49.848203488999786, -97.15570932148528 49.84819050395799, -97.15570658054313 49.84817657777111, -97.15570012487989 49.84816418062602, -97.15568951642304 49.84815223051201, -97.15567873091564 49.8481439641208, -97.15566564798496 49.848136699614535, -97.15565042245868 49.84813074416418, -97.15563288625565 49.84812633213972, -97.1556152420592 49.84812405296362, -97.15559942490296 49.8481236700065, -97.1555813141898 49.84812512935955, -97.15556424863813 49.84812846498646, -97.15489695386867 49.84835375833417, -97.15488442386564 49.848358707563804, -97.15486932005295 49.84836713580964, -97.15485733227129 49.848376844717464, -97.15484742656113 49.84838909180962, -97.15484202453383 49.84840069880485, -97.15483988128729 49.84841252647314, -97.15484109137252 49.84842508270934, -97.15484622054994 49.848437983249056, -97.1548543570356 49.848449177419525, -97.15486626453578 49.848459831628304, -97.15488107533828 49.84846880545988, -97.15489733165103 49.848475483902135, -97.15491556467948 49.84848022186282, -97.15493421733004 49.84848265831496, -97.15495391493651 49.84848286592352, -97.15497436476241 49.84848052856035, -97.15499215997636 49.84847615675292)))","0.099558"
"67","Lagimodiere Buffer-3",,"W side Lagimodiere Blvd N of Paterson St","Park and Open Space",,"East","Buffer","WINDSOR PARK","St. Boniface","St. Boniface","0","0.181676","MULTIPOLYGON (((-97.05891595734752 49.861420862247186, -97.05899105278623 49.86137249742637, -97.0566263665786 49.85983874612239, -97.05661134596008 49.85984842307805, -97.05661114141016 49.85992596136284, -97.05891595734752 49.861420862247186)))","0.181676"
"1296","Bard Place Park",,"S of 621 Shaftesbury Blvd","Park and Open Space",,"South","Neighbourhood","SOUTH TUXEDO","Charleswood - Tuxedo - Westwood","Assiniboine South","0","0.77902","MULTIPOLYGON (((-97.2285971472609 49.854805416535825, -97.22853655563412 49.855444011403144, -97.2298278085669 49.85549573172416, -97.22986803477221 49.855085505827184, -97.23050249656569 49.85511072083528, -97.2305249453852 49.854882138779345, -97.2285971472609 49.854805416535825)))","0.77902"
"171","Ross Ellen Park",,"405 Ross Ave","Park and Open Space",,"North Downtown","Neighbourhood","CENTENNIAL","Point Douglas","Downtown","0","0.091622","MULTIPOLYGON (((-97.14496325228973 49.90286862998605, -97.14459085570236 49.90274918034355, -97.14438544628146 49.903010816107994, -97.1446305431202 49.90308943360962, -97.14466633003445 49.90304385210333, -97.14479362841818 49.90308468393259, -97.14496325228973 49.90286862998605)))","0.091622"
