"Asset ID","Asset Class","Park ID","Park Name","Asset Type","Asset Size","Primary Field","Location","Installation Date","Asset Description","Geometry Type","Point","Line","Polygon"
"34657","SEATING","392","Old Exhibition Athletic Grounds","PLAYERS BENCH","N/A","N/A","    (5531408.66705728, 631656.873470052)",,,"POINT","POINT (-97.16590563914993 49.920540201586775)",,
"84565","SEATING","999","Assiniboine Park","BENCH","N/A","N/A","    (5526183.70286021, 626754.585688315)",,,"POINT","POINT (-97.23587774907355 49.874627782371945)",,
"62275","STAND-ALONE PLAY COMPONENT","146","Valour C.C-Isaac Brock Site","N/A","N/A","N/A","    (5527780.01629233, 630240.303776041)",,,"POINT","POINT (-97.18685264245788 49.888230088991854)",,
"71603","STAND-ALONE PLAY COMPONENT","5181","Jinnah Park","N/A","N/A","N/A","    (5515222.67017565, 631146.601138555)",,,"POINT","POINT (-97.17848839831544 49.775144684494485)",,
"136714","SEATING","4008","Jack Reimer Drive Park","BENCH","N/A","N/A","    (5520783.34045029, 639812.599559008)",,,"POINT","POINT (-97.05619527845775 49.823176532746345)",,
"146493","SKATE & BIKE AREA","1054","Broadway Neighbourhood Centre","SKATEPARK","MEDIUM","N/A","    (5527467.09108073, 632477.551822917)",,,"POLYGON",,,"MULTIPOLYGON (((-97.15583080250849 49.88492592993067, -97.15583311612743 49.88489742160783, -97.15583697283043 49.884820371463775, -97.15583696066122 49.88481264029679, -97.15583569185112 49.884805682057056, -97.15583344281191 49.88480029406272, -97.15582812011965 49.884795055396836, -97.15582244551926 49.88479100051236, -97.15581520766877 49.88478771367655, -97.15580546408759 49.88478577458448, -97.15579567520763 49.884785024151405, -97.15578661344925 49.88478467492402, -97.15578934778152 49.88476122816233, -97.15571106417634 49.884690106514206, -97.15556417399674 49.88475883474682, -97.15554930946895 49.88476246370491, -97.15552663532709 49.884741586088914, -97.15552743712998 49.884696402385615, -97.15550317292791 49.88469518223018, -97.15550148593879 49.88469509739768, -97.15548447476505 49.88469467802899, -97.15546677371988 49.88469424767981, -97.15545592101358 49.88487634755281, -97.15555891960132 49.88487858122872, -97.15555858442433 49.884890284106746, -97.15555914639994 49.884897423518524, -97.15556137275989 49.88490340584778, -97.15556606711061 49.88490903098761, -97.15557292284178 49.88491429405953, -97.15558258337956 49.88491841238069, -97.15559386758424 49.88492017777561, -97.1556088613264 49.88492120927465, -97.15562203805443 49.884921617169724, -97.15583080250849 49.88492592993067)))"
"45709","STAND-ALONE PLAY COMPONENT","533","Gateway C.C","N/A","N/A","N/A","    (5534411.64757488, 640025.7109375)",,,"POINT","POINT (-97.04829954584304 49.94563198975223)",,
"46909","PLAY STRUCTURE","653","Brock Fleet Park","5 TO 12","SMALL","N/A","    (5524695.7996668, 630175.255680484)",,,"POINT","POINT (-97.18879537340989 49.86051791220752)",,
"46688","PLAY STRUCTURE","82","Arrowwood Tot Lot","2 TO 5","SMALL","N/A","    (5534145.17028034, 632717.68241598)",,,"POINT","POINT (-97.15019405639111 49.9449053179959)",,
"122338","SPORT COURT","759","Norwood C.C","PICKLEBALL","FULL COURT","No","    (5526957.97269744, 634464.495283333)",,,"POLYGON",,,"MULTIPOLYGON (((-97.12836381994205 49.87990613192899, -97.12837120513154 49.879785819855805, -97.12828766431691 49.87978376451016, -97.12827973272218 49.87990406775554, -97.12836381994205 49.87990613192899)))"
